location,year_month,public,total,total_sex_male,total_sex_female,total_age_0_19,total_age_20_39,total_age_40_59,total_age_60_max,total_sex_male_age_0_19,total_sex_male_age_20_39,total_sex_male_age_40_59,total_sex_male_age_60_max,total_sex_female_age_0_19,total_sex_female_age_20_39,total_sex_female_age_40_59,total_sex_female_age_60_max
Australia_New South Wales,Jan 2019,Y,75,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2019,Y,72,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2019,Y,91,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2019,Y,56,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2019,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2019,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jul 2019,Y,74,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Aug 2019,Y,77,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Sep 2019,Y,85,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Oct 2019,Y,91,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Nov 2019,Y,92,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Dec 2019,Y,95,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jan 2020,Y,81,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2020,Y,63,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2020,Y,87,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2020,Y,58,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2020,Y,66,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2020,Y,69,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jul 2020,Y,86,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Aug 2020,Y,86,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Sep 2020,Y,76,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Oct 2020,Y,62,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Nov 2020,Y,77,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Dec 2020,Y,88,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jan 2021,Y,107,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Feb 2021,Y,54,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Mar 2021,Y,78,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Apr 2021,Y,67,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,May 2021,Y,78,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_New South Wales,Jun 2021,Y,60,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Australia_Queensland,Jan 2016,N,63,46,17,6,26,19,12,.b,17,.b,.b,.b,9,.b,.b
Australia_Queensland,Feb 2016,N,66,58,8,.b,22,26,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Mar 2016,N,61,45,16,.b,24,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Apr 2016,N,46,34,12,.b,16,20,.b,.b,.b,14,.b,.b,.b,6,.b
Australia_Queensland,May 2016,N,41,26,15,.b,13,.b,12,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jun 2016,N,55,45,10,.b,27,21,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jul 2016,N,53,39,14,.b,21,17,.b,.b,13,.b,.b,.b,8,.b,.b
Australia_Queensland,Aug 2016,N,60,46,14,.b,29,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Sep 2016,N,49,35,14,.b,19,17,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Oct 2016,N,65,51,14,.b,24,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Nov 2016,N,61,49,12,8,18,18,17,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Dec 2016,N,63,52,11,.b,29,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jan 2017,N,76,57,19,.b,25,30,.b,.b,.b,21,.b,.b,.b,9,.b
Australia_Queensland,Feb 2017,N,74,52,22,.b,20,34,.b,.b,13,27,.b,.b,7,7,.b
Australia_Queensland,Mar 2017,N,77,56,21,.b,24,28,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Apr 2017,N,57,40,17,.b,14,30,.b,.b,.b,19,.b,.b,.b,11,.b
Australia_Queensland,May 2017,N,54,42,12,.b,19,20,.b,.b,.b,14,.b,.b,.b,6,.b
Australia_Queensland,Jun 2017,N,63,51,12,.b,17,34,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jul 2017,N,62,49,13,.b,22,27,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Aug 2017,N,71,56,15,.b,25,30,.b,.b,18,.b,.b,.b,7,.b,.b
Australia_Queensland,Sep 2017,N,64,49,15,.b,21,28,.b,.b,15,.b,.b,.b,6,.b,.b
Australia_Queensland,Oct 2017,N,81,61,20,.b,36,30,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Nov 2017,N,73,55,18,.b,29,26,.b,.b,.b,16,.b,.b,.b,10,.b
Australia_Queensland,Dec 2017,N,67,53,14,.b,24,24,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jan 2018,N,72,63,9,8,23,27,14,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Feb 2018,N,67,50,17,.b,25,22,.b,.b,.b,16,.b,.b,.b,6,.b
Australia_Queensland,Mar 2018,N,68,58,10,.b,30,25,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Apr 2018,N,54,43,11,.b,19,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,May 2018,N,57,38,19,.b,20,25,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jun 2018,N,61,49,12,.b,20,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jul 2018,N,57,44,13,6,19,24,8,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Aug 2018,N,59,45,14,7,24,18,10,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Sep 2018,N,67,56,11,.b,27,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Oct 2018,N,73,48,25,.b,23,24,.b,.b,14,.b,.b,.b,9,.b,.b
Australia_Queensland,Nov 2018,N,79,61,18,9,31,23,16,.b,25,17,.b,.b,6,6,.b
Australia_Queensland,Dec 2018,N,66,48,18,.b,27,21,.b,.b,18,.b,.b,.b,9,.b,.b
Australia_Queensland,Jan 2019,N,70,57,13,.b,25,33,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Feb 2019,N,70,54,16,6,22,26,16,.b,15,.b,.b,.b,7,.b,.b
Australia_Queensland,Mar 2019,N,58,45,13,.b,21,22,.b,.b,15,.b,.b,.b,6,.b,.b
Australia_Queensland,Apr 2019,N,68,45,23,.b,35,.b,16,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,May 2019,N,67,51,16,7,19,25,16,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jun 2019,N,46,35,11,.b,20,16,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jul 2019,N,77,63,14,.b,23,32,.b,.b,.b,26,.b,.b,.b,6,.b
Australia_Queensland,Aug 2019,N,59,40,19,.b,20,22,.b,.b,11,.b,.b,.b,9,.b,.b
Australia_Queensland,Sep 2019,N,62,47,15,.b,22,25,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Oct 2019,N,69,51,18,6,26,24,13,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Nov 2019,N,64,45,19,6,26,25,7,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Dec 2019,N,60,45,15,.b,.b,27,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jan 2020,N,76,61,15,.b,32,31,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Feb 2020,N,76,66,10,.b,29,28,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Mar 2020,N,69,50,19,7,25,26,11,.b,15,.b,.b,.b,10,.b,.b
Australia_Queensland,Apr 2020,N,66,48,18,.b,25,20,.b,.b,.b,14,.b,.b,.b,6,.b
Australia_Queensland,May 2020,N,70,56,14,8,25,22,15,.b,18,.b,.b,.b,7,.b,.b
Australia_Queensland,Jun 2020,N,54,38,16,7,26,11,10,.b,19,.b,.b,.b,7,.b,.b
Australia_Queensland,Jul 2020,N,52,42,10,.b,19,21,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Aug 2020,N,57,46,11,.b,24,.b,16,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Sep 2020,N,62,48,14,.b,23,20,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Oct 2020,N,63,51,12,.b,23,.b,19,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Nov 2020,N,74,56,18,.b,32,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Dec 2020,N,72,54,18,.b,28,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Queensland,Jan 2021,N,70,49,21,.b,24,.b,22,.b,.b,.b,16,.b,.b,.b,6
Australia_Queensland,Feb 2021,N,81,63,18,.b,27,30,.b,.b,.b,21,.b,.b,.b,9,.b
Australia_Queensland,Mar 2021,N,62,48,14,6,20,24,12,.b,14,.b,.b,.b,6,.b,.b
Australia_Queensland,Apr 2021,N,54,33,21,.b,19,19,.b,.b,11,13,.b,.b,8,6,.b
Australia_Queensland,May 2021,N,67,54,13,.b,34,18,.b,.b,27,.b,.b,.b,7,.b,.b
Australia_Queensland,Jun 2021,N,70,54,16,.b,29,24,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jan 2016,N,60,51,9,.b,.b,20,22,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Feb 2016,N,51,41,10,.b,25,16,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Mar 2016,N,61,46,15,.b,21,.b,18,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Apr 2016,N,44,32,12,6,16,14,8,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,May 2016,N,58,40,18,.b,21,21,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jun 2016,N,49,32,17,.b,15,21,.b,.b,.b,13,.b,.b,.b,8,.b
Australia_Victoria,Jul 2016,N,48,36,12,.b,18,16,.b,.b,.b,10,.b,.b,.b,6,.b
Australia_Victoria,Aug 2016,N,58,37,21,.b,26,20,.b,.b,16,.b,.b,.b,10,.b,.b
Australia_Victoria,Sep 2016,N,62,47,15,.b,31,18,.b,.b,24,.b,.b,.b,7,.b,.b
Australia_Victoria,Oct 2016,N,49,36,13,.b,25,13,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Nov 2016,N,57,38,19,.b,24,18,.b,.b,17,.b,.b,.b,7,.b,.b
Australia_Victoria,Dec 2016,N,56,40,16,.b,22,24,.b,.b,.b,15,.b,.b,.b,9,.b
Australia_Victoria,Jan 2017,N,60,40,20,.b,22,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Feb 2017,N,49,40,9,.b,17,16,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Mar 2017,N,72,59,13,.b,35,24,.b,.b,29,.b,.b,.b,6,.b,.b
Australia_Victoria,Apr 2017,N,50,36,14,.b,.b,21,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,May 2017,N,49,32,17,.b,18,18,.b,.b,.b,12,.b,.b,.b,6,.b
Australia_Victoria,Jun 2017,N,52,33,19,.b,17,24,.b,.b,.b,14,.b,.b,.b,10,.b
Australia_Victoria,Jul 2017,N,63,44,19,.b,19,26,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Aug 2017,N,58,41,17,8,17,25,8,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Sep 2017,N,40,26,14,.b,15,17,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Oct 2017,N,61,51,10,.b,24,24,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Nov 2017,N,60,46,14,.b,18,31,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Dec 2017,N,61,47,14,.b,23,26,.b,.b,.b,18,.b,.b,.b,8,.b
Australia_Victoria,Jan 2018,N,50,43,7,.b,15,24,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Feb 2018,N,50,38,12,.b,25,16,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Mar 2018,N,65,49,16,.b,26,23,.b,.b,.b,15,.b,.b,.b,8,.b
Australia_Victoria,Apr 2018,N,61,44,17,.b,28,15,.b,.b,21,.b,.b,.b,7,.b,.b
Australia_Victoria,May 2018,N,55,41,14,.b,16,23,.b,.b,.b,16,.b,.b,.b,7,.b
Australia_Victoria,Jun 2018,N,51,33,18,.b,23,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jul 2018,N,67,54,13,.b,26,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Aug 2018,N,59,40,19,.b,25,18,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Sep 2018,N,52,29,23,.b,20,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Oct 2018,N,63,51,12,.b,21,24,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Nov 2018,N,74,55,19,.b,25,25,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Dec 2018,N,63,50,13,.b,.b,26,19,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jan 2019,N,73,60,13,.b,34,22,.b,.b,.b,16,.b,.b,.b,6,.b
Australia_Victoria,Feb 2019,N,61,44,17,.b,18,28,.b,.b,.b,21,.b,.b,.b,7,.b
Australia_Victoria,Mar 2019,N,54,41,13,.b,20,22,.b,.b,.b,16,.b,.b,.b,6,.b
Australia_Victoria,Apr 2019,N,57,37,20,.b,25,19,.b,.b,.b,11,.b,.b,.b,8,.b
Australia_Victoria,May 2019,N,64,51,13,.b,31,20,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jun 2019,N,55,46,9,.b,26,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jul 2019,N,54,39,15,.b,16,21,.b,.b,.b,13,.b,.b,.b,8,.b
Australia_Victoria,Aug 2019,N,62,43,19,.b,20,23,.b,.b,.b,17,.b,.b,.b,6,.b
Australia_Victoria,Sep 2019,N,54,38,16,.b,.b,23,.b,.b,.b,17,.b,.b,.b,6,.b
Australia_Victoria,Oct 2019,N,65,52,13,6,27,19,13,.b,21,.b,.b,.b,6,.b,.b
Australia_Victoria,Nov 2019,N,55,42,13,.b,.b,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Dec 2019,N,64,49,15,.b,21,26,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jan 2020,N,67,57,10,.b,20,29,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Feb 2020,N,64,49,15,.b,23,26,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Mar 2020,N,75,59,16,.b,25,27,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Apr 2020,N,54,35,19,.b,20,.b,16,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,May 2020,N,58,41,17,.b,21,20,.b,.b,14,.b,.b,.b,7,.b,.b
Australia_Victoria,Jun 2020,N,57,41,16,.b,20,.b,20,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jul 2020,N,60,45,15,.b,28,.b,16,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Aug 2020,N,60,41,19,.b,25,18,.b,.b,15,.b,.b,.b,10,.b,.b
Australia_Victoria,Sep 2020,N,49,34,15,.b,16,.b,17,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Oct 2020,N,52,35,17,.b,20,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Nov 2020,N,68,53,15,.b,25,31,.b,.b,19,.b,.b,.b,6,.b,.b
Australia_Victoria,Dec 2020,N,52,43,9,.b,24,19,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Jan 2021,N,56,44,12,.b,14,28,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Feb 2021,N,49,37,12,.b,23,14,.b,.b,17,.b,.b,.b,6,.b,.b
Australia_Victoria,Mar 2021,N,68,56,12,.b,26,22,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,Apr 2021,N,48,36,12,.b,21,13,.b,.b,.b,.b,.b,.b,.b,.b,.b
Australia_Victoria,May 2021,N,55,42,13,.b,22,.b,15,.b,16,.b,.b,.b,6,.b,.b
Australia_Victoria,Jun 2021,N,55,41,14,.b,17,23,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jan 2018,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Feb 2018,N,12,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Mar 2018,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Apr 2018,N,12,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,May 2018,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jun 2018,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jul 2018,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Aug 2018,N,14,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Sep 2018,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Oct 2018,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Nov 2018,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Dec 2018,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jan 2019,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Feb 2019,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Mar 2019,N,15,9,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Apr 2019,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,May 2019,N,13,.b,.b,.b,.b,.b,6,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jun 2019,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jul 2019,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Aug 2019,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Sep 2019,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Oct 2019,N,8,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Nov 2019,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Dec 2019,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jan 2020,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Feb 2020,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Mar 2020,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Apr 2020,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,May 2020,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jun 2020,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jul 2020,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Aug 2020,N,8,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Sep 2020,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Oct 2020,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Nov 2020,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Dec 2020,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jan 2021,N,12,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Feb 2021,N,13,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Mar 2021,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Apr 2021,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,May 2021,N,7,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Carinthia,Jun 2021,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jan 2016,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Feb 2016,N,8,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Mar 2016,N,13,.b,.b,.b,.b,6,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Apr 2016,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,May 2016,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jun 2016,N,8,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jul 2016,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Aug 2016,N,15,8,7,.b,.b,6,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Sep 2016,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Oct 2016,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Nov 2016,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Dec 2016,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jan 2017,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Feb 2017,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Mar 2017,N,15,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Apr 2017,N,6,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,May 2017,N,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jun 2017,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jul 2017,N,11,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Aug 2017,N,13,.b,.b,.b,.b,.b,7,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Sep 2017,N,10,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Oct 2017,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Nov 2017,N,8,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Dec 2017,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Jan 2018,N,14,.b,.b,.b,.b,7,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Feb 2018,N,9,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Mar 2018,N,13,.b,.b,.b,.b,7,.b,.b,.b,.b,.b,.b,.b,.b,.b
Austria_Tyrol,Apr 2018,N,12,.b,.b,.b,.b,.b,6,.b,.b,.b,.b,.b,.b,.b,.b
